,,Author,"Author Description",Date,Rating,"Helpful count",Review,"Picture included",Language,"Message Original","Language code","Reviewer Data","Profile Url","Review Url",Photos
1,,"PARAv SWIFTY","1 review","2018-07-03 07:28:14",5,0,"Get less people there",no,en,"Get less people there",en,"1 review",https://www.google.com/maps/contrib/111134466006147022502?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURReC0zMjZRRRAB!2m1!1s0x0:0x1416d45ac569b326!3m1!1s2@1:CIHM0ogKEICAgIDQx-326QE%7CCgwIjsvs2QUQgIOTnQI%7C?hl=en,
2,,"Goob Goob","Local Guide · 9 reviews","2018-07-03 07:35:40",5,0,Goooooood,no,en,Goooooood,en,"Local Guide · 9 reviews",https://www.google.com/maps/contrib/105422575444004238946?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUN3NnUtSHRnRRAB!2m1!1s0x0:0x1416d45ac569b326!3m1!1s2@1:CIHM0ogKEICAgICw6u-HtgE%7CCgwIzM7s2QUQgKbN6gE%7C?hl=en,
3,,"John Carr","Local Guide · 23 reviews","2018-07-03 09:05:27",5,0,"Massive range of runs for every kind of skiier!",no,en,"Massive range of runs for every kind of skiier!",en,"Local Guide · 23 reviews",https://www.google.com/maps/contrib/110456761567845943577?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURRaS1iSVBREAE!2m1!1s0x0:0x1416d45ac569b326!3m1!1s2@1:CIHM0ogKEICAgIDQi-bIPQ%7CCgsI1_js2QUQwLP7cQ%7C?hl=en,
4,,"Joe Porter","1 review","2018-07-03 09:06:17",4,0,,no,,,,"1 review",https://www.google.com/maps/contrib/112853078182097344122?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURBcTRxSk9nEAE!2m1!1s0x0:0x1416d45ac569b326!3m1!1s2@1:CIHM0ogKEICAgIDAq4qJOg%7CCgwIifns2QUQgImV7wI%7C?hl=en,
5,,"Dale Drain","Local Guide · 75 reviews","2018-07-03 11:35:07",5,0,"Great outlook. Drinks a bit pricey but on par for snow prices.",no,en,"Great outlook. Drinks a bit pricey but on par for snow prices.",en,"Local Guide · 75 reviews",https://www.google.com/maps/contrib/104798922430988120395?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURBczQ3NTVnRRAB!2m1!1s0x0:0x1416d45ac569b326!3m1!1s2@1:CIHM0ogKEICAgIDAs4755gE%7CCgsI677t2QUQgLbcBQ%7C?hl=en,
6,,"Michelle Witheyman","6 reviews","2018-07-03 11:48:57",4,0,,no,,,,"6 reviews",https://www.google.com/maps/contrib/116946620891497355780?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURBbGZUbDdBRRAB!2m1!1s0x0:0x1416d45ac569b326!3m1!1s2@1:CIHM0ogKEICAgIDAlfTl7AE%7CCgsIqcXt2QUQwImRHA%7C?hl=en,
7,,"Eric Lee","Local Guide · 22 reviews","2018-07-03 13:31:47",4,0,"Plenty of options for trails. Gets very busy during school holidays but otherwise FUN",no,en,"Plenty of options for trails. Gets very busy during school holidays but otherwise FUN",en,"Local Guide · 22 reviews",https://www.google.com/maps/contrib/110136569305207704773?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNBNll5blJBEAE!2m1!1s0x0:0x1416d45ac569b326!3m1!1s2@1:CIHM0ogKEICAgICA6YynRA%7CCgwIw_Xt2QUQgMe9vwI%7C?hl=en,
8,,"Dom Lei","12 reviews","2018-07-03 16:19:20",5,0,"Had some good time there=)",no,en,"Had some good time there=)",en,"12 reviews",https://www.google.com/maps/contrib/116927579576017835779?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNRcUtUeUJ3EAE!2m1!1s0x0:0x1416d45ac569b326!3m1!1s2@1:CIHM0ogKEICAgICQqKTyBw%7CCgwIiMTu2QUQgOH9iwI%7C?hl=en,
9,,"Chris Darwiche","8 reviews","2018-07-04 03:59:55",4,0,,no,,,,"8 reviews",https://www.google.com/maps/contrib/107679398871211524431?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURBNE0zeHhRRRAB!2m1!1s0x0:0x1416d45ac569b326!3m1!1s2@1:CIHM0ogKEICAgIDA4M3xxQE%7CCgwIu4zx2QUQgMLgqQE%7C?hl=en,
10,,"MAX IE","1 review","2018-07-04 06:22:25",4,0,,no,,,,"1 review",https://www.google.com/maps/contrib/106567645609682073292?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURBNHBDR0lBEAE!2m1!1s0x0:0x1416d45ac569b326!3m1!1s2@1:CIHM0ogKEICAgIDA4pCGIA%7CCgwIoc_x2QUQgPb7sAM%7C?hl=en,
